water_level_change,water_flow
-15.93675813378541,60422330445.516914
-29.15297921723813,33214896575.595245
36.18954862666253,972706380901.0577
37.49218733199513,1042882510684.6967
-48.058829452570066,79521801258.52472
-8.941457938049757,60047561814.42556
15.307792889226079,416447695758.77893
-40.686110015367476,140399756801.42822
-4.472010975766456,126024762126.24565
26.53363489478886,630642575531.5374
-42.79768310017956,-1242068.0534553963
25.374099383527664,580462622710.2104
-31.109553977307748,109229740231.96147
27.311768635213408,548224648040.8505
-3.2638620136567207,138259325022.37595
-1.8182764871158748,314160566997.6978
-40.71966240251616,211240961014.81985
-50.013243645495436,41812019723.46732
-17.411771548016382,76979529376.18765
3.588193696644129,309340557553.4888
7.085480261970672,236352046523.78436
46.28236901853893,1494256381086.7295
14.612289091656539,378146284247.9744
